StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2024-08-24T05:00:00Z,N2EXMIDP,2024-08-24,13,0.00,0.000
2024-08-24T04:30:00Z,APXMIDP,2024-08-24,12,47.43,2223.400
2024-08-24T04:30:00Z,N2EXMIDP,2024-08-24,12,0.00,0.000
2024-08-24T04:00:00Z,APXMIDP,2024-08-24,11,44.25,2141.750
2024-08-24T04:00:00Z,N2EXMIDP,2024-08-24,11,0.00,0.000
2024-08-24T03:30:00Z,APXMIDP,2024-08-24,10,52.71,2292.400
2024-08-24T03:30:00Z,N2EXMIDP,2024-08-24,10,0.00,0.000
2024-08-24T03:00:00Z,APXMIDP,2024-08-24,9,57.16,2284.800
2024-08-24T03:00:00Z,N2EXMIDP,2024-08-24,9,0.00,0.000
2024-08-24T02:30:00Z,APXMIDP,2024-08-24,8,55.49,2000.500
2024-08-24T02:30:00Z,N2EXMIDP,2024-08-24,8,0.00,0.000
2024-08-24T02:00:00Z,APXMIDP,2024-08-24,7,42.77,2243.150
2024-08-24T02:00:00Z,N2EXMIDP,2024-08-24,7,0.00,0.000
2024-08-24T01:30:00Z,APXMIDP,2024-08-24,6,50.35,2010.650
2024-08-24T01:30:00Z,N2EXMIDP,2024-08-24,6,0.00,0.000
2024-08-24T01:00:00Z,APXMIDP,2024-08-24,5,57.42,2207.400
2024-08-24T01:00:00Z,N2EXMIDP,2024-08-24,5,0.00,0.000
2024-08-24T00:30:00Z,APXMIDP,2024-08-24,4,59.56,1960.750
2024-08-24T00:30:00Z,N2EXMIDP,2024-08-24,4,0.00,0.000
2024-08-24T00:00:00Z,APXMIDP,2024-08-24,3,51.46,1845.750
2024-08-24T00:00:00Z,N2EXMIDP,2024-08-24,3,0.00,0.000
2024-08-23T23:30:00Z,APXMIDP,2024-08-24,2,53.25,2094.350
2024-08-23T23:30:00Z,N2EXMIDP,2024-08-24,2,0.00,0.000
2024-08-23T23:00:00Z,APXMIDP,2024-08-24,1,58.17,1943.400
2024-08-23T23:00:00Z,N2EXMIDP,2024-08-24,1,0.00,0.000
2024-08-23T22:30:00Z,APXMIDP,2024-08-23,48,68.21,1802.300
2024-08-23T22:30:00Z,N2EXMIDP,2024-08-23,48,0.00,0.000
2024-08-23T22:00:00Z,APXMIDP,2024-08-23,47,82.02,1668.200
2024-08-23T22:00:00Z,N2EXMIDP,2024-08-23,47,0.00,0.000
2024-08-23T21:30:00Z,APXMIDP,2024-08-23,46,76.99,2464.500
2024-08-23T21:30:00Z,N2EXMIDP,2024-08-23,46,0.00,0.000
2024-08-23T21:00:00Z,APXMIDP,2024-08-23,45,95.94,2451.250
2024-08-23T21:00:00Z,N2EXMIDP,2024-08-23,45,0.00,0.000
2024-08-23T20:30:00Z,APXMIDP,2024-08-23,44,95.80,2349.800
2024-08-23T20:30:00Z,N2EXMIDP,2024-08-23,44,0.00,0.000
2024-08-23T20:00:00Z,APXMIDP,2024-08-23,43,95.73,2410.650
2024-08-23T20:00:00Z,N2EXMIDP,2024-08-23,43,0.00,0.000
2024-08-23T19:30:00Z,APXMIDP,2024-08-23,42,92.64,2344.350
2024-08-23T19:30:00Z,N2EXMIDP,2024-08-23,42,0.00,0.000
2024-08-23T19:00:00Z,APXMIDP,2024-08-23,41,93.22,2472.300
2024-08-23T19:00:00Z,N2EXMIDP,2024-08-23,41,0.00,0.000
2024-08-23T18:30:00Z,APXMIDP,2024-08-23,40,97.32,2948.800
2024-08-23T18:30:00Z,N2EXMIDP,2024-08-23,40,0.00,0.000
2024-08-23T18:00:00Z,APXMIDP,2024-08-23,39,97.01,2841.950
2024-08-23T18:00:00Z,N2EXMIDP,2024-08-23,39,0.00,0.000
2024-08-23T17:30:00Z,APXMIDP,2024-08-23,38,87.38,3051.500
2024-08-23T17:30:00Z,N2EXMIDP,2024-08-23,38,0.00,0.000
2024-08-23T17:00:00Z,APXMIDP,2024-08-23,37,81.59,3090.750
2024-08-23T17:00:00Z,N2EXMIDP,2024-08-23,37,0.00,0.000
2024-08-23T16:30:00Z,APXMIDP,2024-08-23,36,64.42,3043.500
2024-08-23T16:30:00Z,N2EXMIDP,2024-08-23,36,0.00,0.000
2024-08-23T16:00:00Z,APXMIDP,2024-08-23,35,46.65,3539.450
2024-08-23T16:00:00Z,N2EXMIDP,2024-08-23,35,0.00,0.000
2024-08-23T15:30:00Z,APXMIDP,2024-08-23,34,33.36,2885.100
2024-08-23T15:30:00Z,N2EXMIDP,2024-08-23,34,0.00,0.000
2024-08-23T15:00:00Z,APXMIDP,2024-08-23,33,4.57,2867.400
2024-08-23T15:00:00Z,N2EXMIDP,2024-08-23,33,0.00,0.000
2024-08-23T14:30:00Z,APXMIDP,2024-08-23,32,-1.23,2948.800
2024-08-23T14:30:00Z,N2EXMIDP,2024-08-23,32,0.00,0.000
2024-08-23T14:00:00Z,APXMIDP,2024-08-23,31,4.74,2686.900
2024-08-23T14:00:00Z,N2EXMIDP,2024-08-23,31,0.00,0.000
2024-08-23T13:30:00Z,APXMIDP,2024-08-23,30,3.38,3521.200
2024-08-23T13:30:00Z,N2EXMIDP,2024-08-23,30,0.00,0.000
2024-08-23T13:00:00Z,APXMIDP,2024-08-23,29,4.04,3540.650
2024-08-23T13:00:00Z,N2EXMIDP,2024-08-23,29,0.00,0.000
2024-08-23T12:30:00Z,APXMIDP,2024-08-23,28,6.70,3522.400
2024-08-23T12:30:00Z,N2EXMIDP,2024-08-23,28,0.00,0.000
2024-08-23T12:00:00Z,APXMIDP,2024-08-23,27,4.08,3783.350
2024-08-23T12:00:00Z,N2EXMIDP,2024-08-23,27,0.00,0.000
2024-08-23T11:30:00Z,APXMIDP,2024-08-23,26,1.81,3932.950
2024-08-23T11:30:00Z,N2EXMIDP,2024-08-23,26,0.00,0.000
2024-08-23T11:00:00Z,APXMIDP,2024-08-23,25,4.39,4219.300
2024-08-23T11:00:00Z,N2EXMIDP,2024-08-23,25,0.00,0.000
2024-08-23T10:30:00Z,APXMIDP,2024-08-23,24,-1.89,3865.000
2024-08-23T10:30:00Z,N2EXMIDP,2024-08-23,24,0.00,0.000
2024-08-23T10:00:00Z,APXMIDP,2024-08-23,23,0.58,3927.050
2024-08-23T10:00:00Z,N2EXMIDP,2024-08-23,23,0.00,0.000
2024-08-23T09:30:00Z,APXMIDP,2024-08-23,22,-11.69,2529.150
2024-08-23T09:30:00Z,N2EXMIDP,2024-08-23,22,0.00,0.000
2024-08-23T09:00:00Z,APXMIDP,2024-08-23,21,-5.75,2508.450
2024-08-23T09:00:00Z,N2EXMIDP,2024-08-23,21,0.00,0.000
2024-08-23T08:30:00Z,APXMIDP,2024-08-23,20,-1.06,2731.100
2024-08-23T08:30:00Z,N2EXMIDP,2024-08-23,20,0.00,0.000
2024-08-23T08:00:00Z,APXMIDP,2024-08-23,19,-0.66,2282.900
2024-08-23T08:00:00Z,N2EXMIDP,2024-08-23,19,0.00,0.000
2024-08-23T07:30:00Z,APXMIDP,2024-08-23,18,-11.87,2534.050
2024-08-23T07:30:00Z,N2EXMIDP,2024-08-23,18,0.00,0.000
2024-08-23T07:00:00Z,APXMIDP,2024-08-23,17,-8.48,2174.250
2024-08-23T07:00:00Z,N2EXMIDP,2024-08-23,17,0.00,0.000
2024-08-23T06:30:00Z,APXMIDP,2024-08-23,16,-0.62,1790.550
2024-08-23T06:30:00Z,N2EXMIDP,2024-08-23,16,0.00,0.000
2024-08-23T06:00:00Z,APXMIDP,2024-08-23,15,-4.36,1604.600
2024-08-23T06:00:00Z,N2EXMIDP,2024-08-23,15,0.00,0.000
2024-08-23T05:30:00Z,APXMIDP,2024-08-23,14,5.10,1960.400
2024-08-23T05:30:00Z,N2EXMIDP,2024-08-23,14,0.00,0.000
2024-08-23T05:00:00Z,APXMIDP,2024-08-23,13,0.57,1841.350
2024-08-23T05:00:00Z,N2EXMIDP,2024-08-23,13,0.00,0.000
2024-08-23T04:30:00Z,APXMIDP,2024-08-23,12,-3.07,1962.900
2024-08-23T04:30:00Z,N2EXMIDP,2024-08-23,12,0.00,0.000
2024-08-23T04:00:00Z,APXMIDP,2024-08-23,11,-5.82,2000.800
2024-08-23T04:00:00Z,N2EXMIDP,2024-08-23,11,0.00,0.000
2024-08-23T03:30:00Z,APXMIDP,2024-08-23,10,-12.61,2303.950
2024-08-23T03:30:00Z,N2EXMIDP,2024-08-23,10,0.00,0.000
2024-08-23T03:00:00Z,APXMIDP,2024-08-23,9,-8.24,2252.000
2024-08-23T03:00:00Z,N2EXMIDP,2024-08-23,9,0.00,0.000
2024-08-23T02:30:00Z,APXMIDP,2024-08-23,8,-10.33,2760.950
2024-08-23T02:30:00Z,N2EXMIDP,2024-08-23,8,0.00,0.000
2024-08-23T02:00:00Z,APXMIDP,2024-08-23,7,-7.80,2794.500
2024-08-23T02:00:00Z,N2EXMIDP,2024-08-23,7,0.00,0.000
2024-08-23T01:30:00Z,APXMIDP,2024-08-23,6,11.46,2871.650
2024-08-23T01:30:00Z,N2EXMIDP,2024-08-23,6,0.00,0.000
2024-08-23T01:00:00Z,APXMIDP,2024-08-23,5,21.12,2228.700
2024-08-23T01:00:00Z,N2EXMIDP,2024-08-23,5,0.00,0.000
2024-08-23T00:30:00Z,APXMIDP,2024-08-23,4,11.59,1802.750
2024-08-23T00:30:00Z,N2EXMIDP,2024-08-23,4,0.00,0.000
2024-08-23T00:00:00Z,APXMIDP,2024-08-23,3,22.40,1963.200
2024-08-23T00:00:00Z,N2EXMIDP,2024-08-23,3,0.00,0.000
2024-08-22T23:30:00Z,APXMIDP,2024-08-23,2,23.68,2334.750
2024-08-22T23:30:00Z,N2EXMIDP,2024-08-23,2,0.00,0.000
2024-08-22T23:00:00Z,APXMIDP,2024-08-23,1,35.15,2432.500
2024-08-22T23:00:00Z,N2EXMIDP,2024-08-23,1,0.00,0.000
2024-08-22T22:30:00Z,APXMIDP,2024-08-22,48,36.19,2231.700
2024-08-22T22:30:00Z,N2EXMIDP,2024-08-22,48,0.00,0.000
2024-08-22T22:00:00Z,APXMIDP,2024-08-22,47,37.81,2020.500
2024-08-22T22:00:00Z,N2EXMIDP,2024-08-22,47,0.00,0.000
2024-08-22T21:30:00Z,APXMIDP,2024-08-22,46,57.55,2612.700
2024-08-22T21:30:00Z,N2EXMIDP,2024-08-22,46,0.00,0.000
2024-08-22T21:00:00Z,APXMIDP,2024-08-22,45,67.76,2595.450
2024-08-22T21:00:00Z,N2EXMIDP,2024-08-22,45,0.00,0.000
2024-08-22T20:30:00Z,APXMIDP,2024-08-22,44,74.97,2830.750
2024-08-22T20:30:00Z,N2EXMIDP,2024-08-22,44,0.00,0.000
2024-08-22T20:00:00Z,APXMIDP,2024-08-22,43,90.61,2858.150
2024-08-22T20:00:00Z,N2EXMIDP,2024-08-22,43,0.00,0.000
2024-08-22T19:30:00Z,APXMIDP,2024-08-22,42,100.21,2794.050
2024-08-22T19:30:00Z,N2EXMIDP,2024-08-22,42,0.00,0.000
2024-08-22T19:00:00Z,APXMIDP,2024-08-22,41,99.14,2980.950
2024-08-22T19:00:00Z,N2EXMIDP,2024-08-22,41,0.00,0.000
2024-08-22T18:30:00Z,APXMIDP,2024-08-22,40,109.50,2653.550
2024-08-22T18:30:00Z,N2EXMIDP,2024-08-22,40,0.00,0.000
2024-08-22T18:00:00Z,APXMIDP,2024-08-22,39,109.34,2813.750
2024-08-22T18:00:00Z,N2EXMIDP,2024-08-22,39,0.00,0.000
2024-08-22T17:30:00Z,APXMIDP,2024-08-22,38,102.63,3112.650
2024-08-22T17:30:00Z,N2EXMIDP,2024-08-22,38,0.00,0.000
2024-08-22T17:00:00Z,APXMIDP,2024-08-22,37,93.96,3095.000
2024-08-22T17:00:00Z,N2EXMIDP,2024-08-22,37,0.00,0.000
2024-08-22T16:30:00Z,APXMIDP,2024-08-22,36,74.78,3319.800
2024-08-22T16:30:00Z,N2EXMIDP,2024-08-22,36,0.00,0.000
2024-08-22T16:00:00Z,APXMIDP,2024-08-22,35,57.48,3300.650
2024-08-22T16:00:00Z,N2EXMIDP,2024-08-22,35,0.00,0.000
2024-08-22T15:30:00Z,APXMIDP,2024-08-22,34,20.09,3169.900
2024-08-22T15:30:00Z,N2EXMIDP,2024-08-22,34,0.00,0.000
2024-08-22T15:00:00Z,APXMIDP,2024-08-22,33,1.01,2934.550
2024-08-22T15:00:00Z,N2EXMIDP,2024-08-22,33,0.00,0.000
2024-08-22T14:30:00Z,APXMIDP,2024-08-22,32,2.68,2530.450
2024-08-22T14:30:00Z,N2EXMIDP,2024-08-22,32,0.00,0.000
2024-08-22T14:00:00Z,APXMIDP,2024-08-22,31,-3.94,2177.650
2024-08-22T14:00:00Z,N2EXMIDP,2024-08-22,31,0.00,0.000
2024-08-22T13:30:00Z,APXMIDP,2024-08-22,30,-2.34,3274.700
2024-08-22T13:30:00Z,N2EXMIDP,2024-08-22,30,0.00,0.000
2024-08-22T13:00:00Z,APXMIDP,2024-08-22,29,-4.55,3412.500
2024-08-22T13:00:00Z,N2EXMIDP,2024-08-22,29,0.00,0.000
2024-08-22T12:30:00Z,APXMIDP,2024-08-22,28,-9.59,3235.200
2024-08-22T12:30:00Z,N2EXMIDP,2024-08-22,28,0.00,0.000
2024-08-22T12:00:00Z,APXMIDP,2024-08-22,27,-6.74,3137.400
2024-08-22T12:00:00Z,N2EXMIDP,2024-08-22,27,0.00,0.000
2024-08-22T11:30:00Z,APXMIDP,2024-08-22,26,-9.60,3217.800
2024-08-22T11:30:00Z,N2EXMIDP,2024-08-22,26,0.00,0.000
2024-08-22T11:00:00Z,APXMIDP,2024-08-22,25,-10.18,3011.900
2024-08-22T11:00:00Z,N2EXMIDP,2024-08-22,25,0.00,0.000
2024-08-22T10:30:00Z,APXMIDP,2024-08-22,24,-8.63,2563.550
2024-08-22T10:30:00Z,N2EXMIDP,2024-08-22,24,0.00,0.000
2024-08-22T10:00:00Z,APXMIDP,2024-08-22,23,-8.03,2426.550
2024-08-22T10:00:00Z,N2EXMIDP,2024-08-22,23,0.00,0.000
2024-08-22T09:30:00Z,APXMIDP,2024-08-22,22,-4.07,2385.950
2024-08-22T09:30:00Z,N2EXMIDP,2024-08-22,22,0.00,0.000
2024-08-22T09:00:00Z,APXMIDP,2024-08-22,21,-6.43,2385.300
2024-08-22T09:00:00Z,N2EXMIDP,2024-08-22,21,0.00,0.000
2024-08-22T08:30:00Z,APXMIDP,2024-08-22,20,-4.84,2655.050
2024-08-22T08:30:00Z,N2EXMIDP,2024-08-22,20,0.00,0.000
2024-08-22T08:00:00Z,APXMIDP,2024-08-22,19,-10.25,2177.300
2024-08-22T08:00:00Z,N2EXMIDP,2024-08-22,19,0.00,0.000
2024-08-22T07:30:00Z,APXMIDP,2024-08-22,18,-0.21,2549.200
2024-08-22T07:30:00Z,N2EXMIDP,2024-08-22,18,0.00,0.000
2024-08-22T07:00:00Z,APXMIDP,2024-08-22,17,-7.18,2198.000
2024-08-22T07:00:00Z,N2EXMIDP,2024-08-22,17,0.00,0.000
2024-08-22T06:30:00Z,APXMIDP,2024-08-22,16,0.70,1971.300
2024-08-22T06:30:00Z,N2EXMIDP,2024-08-22,16,0.00,0.000
2024-08-22T06:00:00Z,APXMIDP,2024-08-22,15,-8.81,1814.150
2024-08-22T06:00:00Z,N2EXMIDP,2024-08-22,15,0.00,0.000
2024-08-22T05:30:00Z,APXMIDP,2024-08-22,14,8.50,2059.250
2024-08-22T05:30:00Z,N2EXMIDP,2024-08-22,14,0.00,0.000
2024-08-22T05:00:00Z,APXMIDP,2024-08-22,13,-13.12,1738.600
2024-08-22T05:00:00Z,N2EXMIDP,2024-08-22,13,0.00,0.000
2024-08-22T04:30:00Z,APXMIDP,2024-08-22,12,-9.54,1665.550
2024-08-22T04:30:00Z,N2EXMIDP,2024-08-22,12,0.00,0.000
2024-08-22T04:00:00Z,APXMIDP,2024-08-22,11,-11.87,1497.850
2024-08-22T04:00:00Z,N2EXMIDP,2024-08-22,11,0.00,0.000
2024-08-22T03:30:00Z,APXMIDP,2024-08-22,10,-17.40,1415.900
2024-08-22T03:30:00Z,N2EXMIDP,2024-08-22,10,0.00,0.000
2024-08-22T03:00:00Z,APXMIDP,2024-08-22,9,-17.08,1520.200
2024-08-22T03:00:00Z,N2EXMIDP,2024-08-22,9,0.00,0.000
2024-08-22T02:30:00Z,APXMIDP,2024-08-22,8,-19.09,1391.800
2024-08-22T02:30:00Z,N2EXMIDP,2024-08-22,8,0.00,0.000
2024-08-22T02:00:00Z,APXMIDP,2024-08-22,7,-18.44,1263.600
2024-08-22T02:00:00Z,N2EXMIDP,2024-08-22,7,0.00,0.000
2024-08-22T01:30:00Z,APXMIDP,2024-08-22,6,-18.45,1641.350
2024-08-22T01:30:00Z,N2EXMIDP,2024-08-22,6,0.00,0.000
2024-08-22T01:00:00Z,APXMIDP,2024-08-22,5,-14.66,1565.450
2024-08-22T01:00:00Z,N2EXMIDP,2024-08-22,5,0.00,0.000
2024-08-22T00:30:00Z,APXMIDP,2024-08-22,4,-16.53,1493.250
2024-08-22T00:30:00Z,N2EXMIDP,2024-08-22,4,0.00,0.000
2024-08-22T00:00:00Z,APXMIDP,2024-08-22,3,-16.64,1775.600
2024-08-22T00:00:00Z,N2EXMIDP,2024-08-22,3,0.00,0.000
2024-08-21T23:30:00Z,APXMIDP,2024-08-22,2,-11.16,1432.350
2024-08-21T23:30:00Z,N2EXMIDP,2024-08-22,2,0.00,0.000
2024-08-21T23:00:00Z,APXMIDP,2024-08-22,1,-8.33,1486.300
2024-08-21T23:00:00Z,N2EXMIDP,2024-08-22,1,0.00,0.000
2024-08-21T22:30:00Z,APXMIDP,2024-08-21,48,-10.14,1567.600
2024-08-21T22:30:00Z,N2EXMIDP,2024-08-21,48,0.00,0.000
2024-08-21T22:00:00Z,APXMIDP,2024-08-21,47,-1.95,1494.200
2024-08-21T22:00:00Z,N2EXMIDP,2024-08-21,47,0.00,0.000
2024-08-21T21:30:00Z,APXMIDP,2024-08-21,46,11.73,2161.400
2024-08-21T21:30:00Z,N2EXMIDP,2024-08-21,46,0.00,0.000
2024-08-21T21:00:00Z,APXMIDP,2024-08-21,45,25.25,1982.350
2024-08-21T21:00:00Z,N2EXMIDP,2024-08-21,45,0.00,0.000
2024-08-21T20:30:00Z,APXMIDP,2024-08-21,44,28.47,2142.200
2024-08-21T20:30:00Z,N2EXMIDP,2024-08-21,44,0.00,0.000
2024-08-21T20:00:00Z,APXMIDP,2024-08-21,43,48.06,2488.700
2024-08-21T20:00:00Z,N2EXMIDP,2024-08-21,43,0.00,0.000
2024-08-21T19:30:00Z,APXMIDP,2024-08-21,42,40.07,2884.100
2024-08-21T19:30:00Z,N2EXMIDP,2024-08-21,42,0.00,0.000
2024-08-21T19:00:00Z,APXMIDP,2024-08-21,41,38.63,3071.500
2024-08-21T19:00:00Z,N2EXMIDP,2024-08-21,41,0.00,0.000
2024-08-21T18:30:00Z,APXMIDP,2024-08-21,40,43.66,3041.050
2024-08-21T18:30:00Z,N2EXMIDP,2024-08-21,40,0.00,0.000
2024-08-21T18:00:00Z,APXMIDP,2024-08-21,39,51.14,3029.000
2024-08-21T18:00:00Z,N2EXMIDP,2024-08-21,39,0.00,0.000
2024-08-21T17:30:00Z,APXMIDP,2024-08-21,38,43.55,2749.250
2024-08-21T17:30:00Z,N2EXMIDP,2024-08-21,38,0.00,0.000
2024-08-21T17:00:00Z,APXMIDP,2024-08-21,37,50.58,2712.200
2024-08-21T17:00:00Z,N2EXMIDP,2024-08-21,37,0.00,0.000
2024-08-21T16:30:00Z,APXMIDP,2024-08-21,36,40.89,2742.750
2024-08-21T16:30:00Z,N2EXMIDP,2024-08-21,36,0.00,0.000
2024-08-21T16:00:00Z,APXMIDP,2024-08-21,35,39.48,2756.900
2024-08-21T16:00:00Z,N2EXMIDP,2024-08-21,35,0.00,0.000
2024-08-21T15:30:00Z,APXMIDP,2024-08-21,34,8.24,2740.900
2024-08-21T15:30:00Z,N2EXMIDP,2024-08-21,34,0.00,0.000
2024-08-21T15:00:00Z,APXMIDP,2024-08-21,33,6.46,3040.550
2024-08-21T15:00:00Z,N2EXMIDP,2024-08-21,33,0.00,0.000
2024-08-21T14:30:00Z,APXMIDP,2024-08-21,32,-0.78,2624.100
2024-08-21T14:30:00Z,N2EXMIDP,2024-08-21,32,0.00,0.000
2024-08-21T14:00:00Z,APXMIDP,2024-08-21,31,-6.42,2532.050
2024-08-21T14:00:00Z,N2EXMIDP,2024-08-21,31,0.00,0.000
2024-08-21T13:30:00Z,APXMIDP,2024-08-21,30,-0.93,3787.750
2024-08-21T13:30:00Z,N2EXMIDP,2024-08-21,30,0.00,0.000
2024-08-21T13:00:00Z,APXMIDP,2024-08-21,29,2.45,3734.750
2024-08-21T13:00:00Z,N2EXMIDP,2024-08-21,29,0.00,0.000
2024-08-21T12:30:00Z,APXMIDP,2024-08-21,28,-1.64,3724.900
2024-08-21T12:30:00Z,N2EXMIDP,2024-08-21,28,0.00,0.000
2024-08-21T12:00:00Z,APXMIDP,2024-08-21,27,0.49,4139.000
2024-08-21T12:00:00Z,N2EXMIDP,2024-08-21,27,0.00,0.000
2024-08-21T11:30:00Z,APXMIDP,2024-08-21,26,-16.87,3287.600
2024-08-21T11:30:00Z,N2EXMIDP,2024-08-21,26,0.00,0.000
2024-08-21T11:00:00Z,APXMIDP,2024-08-21,25,-11.17,2955.850
2024-08-21T11:00:00Z,N2EXMIDP,2024-08-21,25,0.00,0.000
2024-08-21T10:30:00Z,APXMIDP,2024-08-21,24,-10.59,2484.550
2024-08-21T10:30:00Z,N2EXMIDP,2024-08-21,24,0.00,0.000
