StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2022-11-12T00:00:00Z,APXMIDP,2022-11-12,1,113.11,536.800
2022-11-12T00:00:00Z,N2EXMIDP,2022-11-12,1,0.00,0.000
2022-11-11T23:30:00Z,APXMIDP,2022-11-11,48,129.99,604.000
2022-11-11T23:30:00Z,N2EXMIDP,2022-11-11,48,0.00,0.000
2022-11-11T23:00:00Z,APXMIDP,2022-11-11,47,125.17,613.100
2022-11-11T23:00:00Z,N2EXMIDP,2022-11-11,47,0.00,0.000
2022-11-11T22:30:00Z,APXMIDP,2022-11-11,46,103.08,1291.750
2022-11-11T22:30:00Z,N2EXMIDP,2022-11-11,46,0.00,0.000
2022-11-11T22:00:00Z,APXMIDP,2022-11-11,45,103.24,1074.650
2022-11-11T22:00:00Z,N2EXMIDP,2022-11-11,45,0.00,0.000
2022-11-11T21:30:00Z,APXMIDP,2022-11-11,44,90.59,1402.950
2022-11-11T21:30:00Z,N2EXMIDP,2022-11-11,44,0.00,0.000
2022-11-11T21:00:00Z,APXMIDP,2022-11-11,43,110.25,1210.200
2022-11-11T21:00:00Z,N2EXMIDP,2022-11-11,43,0.00,0.000
2022-11-11T20:30:00Z,APXMIDP,2022-11-11,42,113.76,1423.850
2022-11-11T20:30:00Z,N2EXMIDP,2022-11-11,42,0.00,0.000
2022-11-11T20:00:00Z,APXMIDP,2022-11-11,41,110.73,1545.100
2022-11-11T20:00:00Z,N2EXMIDP,2022-11-11,41,0.00,0.000
2022-11-11T19:30:00Z,APXMIDP,2022-11-11,40,106.18,1595.450
2022-11-11T19:30:00Z,N2EXMIDP,2022-11-11,40,0.00,0.000
2022-11-11T19:00:00Z,APXMIDP,2022-11-11,39,117.06,1649.200
2022-11-11T19:00:00Z,N2EXMIDP,2022-11-11,39,0.00,0.000
2022-11-11T18:30:00Z,APXMIDP,2022-11-11,38,118.46,2007.350
2022-11-11T18:30:00Z,N2EXMIDP,2022-11-11,38,0.00,0.000
2022-11-11T18:00:00Z,APXMIDP,2022-11-11,37,106.80,1622.750
2022-11-11T18:00:00Z,N2EXMIDP,2022-11-11,37,0.00,0.000
2022-11-11T17:30:00Z,APXMIDP,2022-11-11,36,114.80,1741.500
2022-11-11T17:30:00Z,N2EXMIDP,2022-11-11,36,0.00,0.000
2022-11-11T17:00:00Z,APXMIDP,2022-11-11,35,117.59,1430.250
2022-11-11T17:00:00Z,N2EXMIDP,2022-11-11,35,0.00,0.000
2022-11-11T16:30:00Z,APXMIDP,2022-11-11,34,105.28,1445.850
2022-11-11T16:30:00Z,N2EXMIDP,2022-11-11,34,0.00,0.000
2022-11-11T16:00:00Z,APXMIDP,2022-11-11,33,91.31,1545.650
2022-11-11T16:00:00Z,N2EXMIDP,2022-11-11,33,0.00,0.000
2022-11-11T15:30:00Z,APXMIDP,2022-11-11,32,93.64,1522.500
2022-11-11T15:30:00Z,N2EXMIDP,2022-11-11,32,0.00,0.000
2022-11-11T15:00:00Z,APXMIDP,2022-11-11,31,103.97,1915.850
2022-11-11T15:00:00Z,N2EXMIDP,2022-11-11,31,0.00,0.000
2022-11-11T14:30:00Z,APXMIDP,2022-11-11,30,111.78,1671.650
2022-11-11T14:30:00Z,N2EXMIDP,2022-11-11,30,0.00,0.000
2022-11-11T14:00:00Z,APXMIDP,2022-11-11,29,113.20,1667.650
2022-11-11T14:00:00Z,N2EXMIDP,2022-11-11,29,0.00,0.000
2022-11-11T13:30:00Z,APXMIDP,2022-11-11,28,94.20,1689.800
2022-11-11T13:30:00Z,N2EXMIDP,2022-11-11,28,0.00,0.000
2022-11-11T13:00:00Z,APXMIDP,2022-11-11,27,97.30,1843.100
2022-11-11T13:00:00Z,N2EXMIDP,2022-11-11,27,0.00,0.000
2022-11-11T12:30:00Z,APXMIDP,2022-11-11,26,87.80,1969.150
2022-11-11T12:30:00Z,N2EXMIDP,2022-11-11,26,0.00,0.000
2022-11-11T12:00:00Z,APXMIDP,2022-11-11,25,89.57,1743.500
2022-11-11T12:00:00Z,N2EXMIDP,2022-11-11,25,0.00,0.000
2022-11-11T11:30:00Z,APXMIDP,2022-11-11,24,89.22,1550.450
2022-11-11T11:30:00Z,N2EXMIDP,2022-11-11,24,0.00,0.000
2022-11-11T11:00:00Z,APXMIDP,2022-11-11,23,108.61,1730.750
2022-11-11T11:00:00Z,N2EXMIDP,2022-11-11,23,0.00,0.000
2022-11-11T10:30:00Z,APXMIDP,2022-11-11,22,104.67,1546.900
2022-11-11T10:30:00Z,N2EXMIDP,2022-11-11,22,0.00,0.000
2022-11-11T10:00:00Z,APXMIDP,2022-11-11,21,97.34,1739.250
2022-11-11T10:00:00Z,N2EXMIDP,2022-11-11,21,0.00,0.000
2022-11-11T09:30:00Z,APXMIDP,2022-11-11,20,103.23,1551.650
2022-11-11T09:30:00Z,N2EXMIDP,2022-11-11,20,0.00,0.000
2022-11-11T09:00:00Z,APXMIDP,2022-11-11,19,104.74,1478.950
2022-11-11T09:00:00Z,N2EXMIDP,2022-11-11,19,0.00,0.000
2022-11-11T08:30:00Z,APXMIDP,2022-11-11,18,91.08,1350.450
2022-11-11T08:30:00Z,N2EXMIDP,2022-11-11,18,0.00,0.000
2022-11-11T08:00:00Z,APXMIDP,2022-11-11,17,73.68,1367.900
2022-11-11T08:00:00Z,N2EXMIDP,2022-11-11,17,0.00,0.000
2022-11-11T07:30:00Z,APXMIDP,2022-11-11,16,97.89,1413.500
2022-11-11T07:30:00Z,N2EXMIDP,2022-11-11,16,0.00,0.000
2022-11-11T07:00:00Z,APXMIDP,2022-11-11,15,67.46,1681.450
2022-11-11T07:00:00Z,N2EXMIDP,2022-11-11,15,0.00,0.000
2022-11-11T06:30:00Z,APXMIDP,2022-11-11,14,52.04,1153.700
2022-11-11T06:30:00Z,N2EXMIDP,2022-11-11,14,0.00,0.000
2022-11-11T06:00:00Z,APXMIDP,2022-11-11,13,-34.78,1131.450
2022-11-11T06:00:00Z,N2EXMIDP,2022-11-11,13,0.00,0.000
2022-11-11T05:30:00Z,APXMIDP,2022-11-11,12,-62.61,1192.350
2022-11-11T05:30:00Z,N2EXMIDP,2022-11-11,12,0.00,0.000
2022-11-11T05:00:00Z,APXMIDP,2022-11-11,11,-64.38,1221.950
2022-11-11T05:00:00Z,N2EXMIDP,2022-11-11,11,0.00,0.000
2022-11-11T04:30:00Z,APXMIDP,2022-11-11,10,-60.64,1074.150
2022-11-11T04:30:00Z,N2EXMIDP,2022-11-11,10,0.00,0.000
2022-11-11T04:00:00Z,APXMIDP,2022-11-11,9,-55.75,890.300
2022-11-11T04:00:00Z,N2EXMIDP,2022-11-11,9,0.00,0.000
2022-11-11T03:30:00Z,APXMIDP,2022-11-11,8,-54.16,922.050
2022-11-11T03:30:00Z,N2EXMIDP,2022-11-11,8,0.00,0.000
2022-11-11T03:00:00Z,APXMIDP,2022-11-11,7,-49.97,889.400
2022-11-11T03:00:00Z,N2EXMIDP,2022-11-11,7,0.00,0.000
2022-11-11T02:30:00Z,APXMIDP,2022-11-11,6,-47.27,1086.900
2022-11-11T02:30:00Z,N2EXMIDP,2022-11-11,6,0.00,0.000
2022-11-11T02:00:00Z,APXMIDP,2022-11-11,5,-44.80,1152.750
2022-11-11T02:00:00Z,N2EXMIDP,2022-11-11,5,0.00,0.000
2022-11-11T01:30:00Z,APXMIDP,2022-11-11,4,-31.44,992.200
2022-11-11T01:30:00Z,N2EXMIDP,2022-11-11,4,0.00,0.000
2022-11-11T01:00:00Z,APXMIDP,2022-11-11,3,-12.72,1064.450
2022-11-11T01:00:00Z,N2EXMIDP,2022-11-11,3,0.00,0.000
2022-11-11T00:30:00Z,APXMIDP,2022-11-11,2,22.58,883.800
2022-11-11T00:30:00Z,N2EXMIDP,2022-11-11,2,0.00,0.000
2022-11-11T00:00:00Z,APXMIDP,2022-11-11,1,-1.82,892.050
2022-11-11T00:00:00Z,N2EXMIDP,2022-11-11,1,0.00,0.000
2022-11-10T23:30:00Z,APXMIDP,2022-11-10,48,-3.49,807.950
2022-11-10T23:30:00Z,N2EXMIDP,2022-11-10,48,0.00,0.000
2022-11-10T23:00:00Z,APXMIDP,2022-11-10,47,22.39,605.050
2022-11-10T23:00:00Z,N2EXMIDP,2022-11-10,47,0.00,0.000
2022-11-10T22:30:00Z,APXMIDP,2022-11-10,46,67.02,1820.000
2022-11-10T22:30:00Z,N2EXMIDP,2022-11-10,46,0.00,0.000
2022-11-10T22:00:00Z,APXMIDP,2022-11-10,45,80.71,1876.650
2022-11-10T22:00:00Z,N2EXMIDP,2022-11-10,45,0.00,0.000
2022-11-10T21:30:00Z,APXMIDP,2022-11-10,44,87.10,1899.900
2022-11-10T21:30:00Z,N2EXMIDP,2022-11-10,44,0.00,0.000
2022-11-10T21:00:00Z,APXMIDP,2022-11-10,43,98.51,2132.300
2022-11-10T21:00:00Z,N2EXMIDP,2022-11-10,43,0.00,0.000
2022-11-10T20:30:00Z,APXMIDP,2022-11-10,42,102.28,2255.950
2022-11-10T20:30:00Z,N2EXMIDP,2022-11-10,42,0.00,0.000
2022-11-10T20:00:00Z,APXMIDP,2022-11-10,41,100.51,2163.750
2022-11-10T20:00:00Z,N2EXMIDP,2022-11-10,41,0.00,0.000
2022-11-10T19:30:00Z,APXMIDP,2022-11-10,40,94.14,2141.400
2022-11-10T19:30:00Z,N2EXMIDP,2022-11-10,40,0.00,0.000
2022-11-10T19:00:00Z,APXMIDP,2022-11-10,39,98.22,2412.050
2022-11-10T19:00:00Z,N2EXMIDP,2022-11-10,39,0.00,0.000
2022-11-10T18:30:00Z,APXMIDP,2022-11-10,38,115.90,1995.800
2022-11-10T18:30:00Z,N2EXMIDP,2022-11-10,38,0.00,0.000
2022-11-10T18:00:00Z,APXMIDP,2022-11-10,37,121.85,1893.900
2022-11-10T18:00:00Z,N2EXMIDP,2022-11-10,37,0.00,0.000
2022-11-10T17:30:00Z,APXMIDP,2022-11-10,36,123.48,1928.700
2022-11-10T17:30:00Z,N2EXMIDP,2022-11-10,36,0.00,0.000
2022-11-10T17:00:00Z,APXMIDP,2022-11-10,35,131.50,1889.250
2022-11-10T17:00:00Z,N2EXMIDP,2022-11-10,35,0.00,0.000
2022-11-10T16:30:00Z,APXMIDP,2022-11-10,34,109.84,1910.450
2022-11-10T16:30:00Z,N2EXMIDP,2022-11-10,34,0.00,0.000
2022-11-10T16:00:00Z,APXMIDP,2022-11-10,33,84.58,1466.650
2022-11-10T16:00:00Z,N2EXMIDP,2022-11-10,33,0.00,0.000
2022-11-10T15:30:00Z,APXMIDP,2022-11-10,32,91.07,1683.150
2022-11-10T15:30:00Z,N2EXMIDP,2022-11-10,32,0.00,0.000
2022-11-10T15:00:00Z,APXMIDP,2022-11-10,31,91.57,1499.900
2022-11-10T15:00:00Z,N2EXMIDP,2022-11-10,31,0.00,0.000
2022-11-10T14:30:00Z,APXMIDP,2022-11-10,30,77.90,1554.200
2022-11-10T14:30:00Z,N2EXMIDP,2022-11-10,30,0.00,0.000
2022-11-10T14:00:00Z,APXMIDP,2022-11-10,29,72.34,1480.750
2022-11-10T14:00:00Z,N2EXMIDP,2022-11-10,29,0.00,0.000
2022-11-10T13:30:00Z,APXMIDP,2022-11-10,28,63.38,1294.150
2022-11-10T13:30:00Z,N2EXMIDP,2022-11-10,28,0.00,0.000
2022-11-10T13:00:00Z,APXMIDP,2022-11-10,27,83.09,1463.400
2022-11-10T13:00:00Z,N2EXMIDP,2022-11-10,27,0.00,0.000
2022-11-10T12:30:00Z,APXMIDP,2022-11-10,26,77.17,1435.800
2022-11-10T12:30:00Z,N2EXMIDP,2022-11-10,26,0.00,0.000
2022-11-10T12:00:00Z,APXMIDP,2022-11-10,25,74.80,1365.850
2022-11-10T12:00:00Z,N2EXMIDP,2022-11-10,25,0.00,0.000
2022-11-10T11:30:00Z,APXMIDP,2022-11-10,24,72.92,1350.100
2022-11-10T11:30:00Z,N2EXMIDP,2022-11-10,24,0.00,0.000
2022-11-10T11:00:00Z,APXMIDP,2022-11-10,23,72.69,1353.250
2022-11-10T11:00:00Z,N2EXMIDP,2022-11-10,23,0.00,0.000
2022-11-10T10:30:00Z,APXMIDP,2022-11-10,22,77.43,1200.700
2022-11-10T10:30:00Z,N2EXMIDP,2022-11-10,22,0.00,0.000
2022-11-10T10:00:00Z,APXMIDP,2022-11-10,21,73.75,1117.550
2022-11-10T10:00:00Z,N2EXMIDP,2022-11-10,21,0.00,0.000
2022-11-10T09:30:00Z,APXMIDP,2022-11-10,20,74.30,1069.000
2022-11-10T09:30:00Z,N2EXMIDP,2022-11-10,20,0.00,0.000
2022-11-10T09:00:00Z,APXMIDP,2022-11-10,19,79.14,1013.900
2022-11-10T09:00:00Z,N2EXMIDP,2022-11-10,19,0.00,0.000
2022-11-10T08:30:00Z,APXMIDP,2022-11-10,18,113.23,858.800
2022-11-10T08:30:00Z,N2EXMIDP,2022-11-10,18,0.00,0.000
2022-11-10T08:00:00Z,APXMIDP,2022-11-10,17,110.46,755.950
2022-11-10T08:00:00Z,N2EXMIDP,2022-11-10,17,0.00,0.000
2022-11-10T07:30:00Z,APXMIDP,2022-11-10,16,104.54,737.250
2022-11-10T07:30:00Z,N2EXMIDP,2022-11-10,16,0.00,0.000
2022-11-10T07:00:00Z,APXMIDP,2022-11-10,15,95.30,1072.600
2022-11-10T07:00:00Z,N2EXMIDP,2022-11-10,15,0.00,0.000
2022-11-10T06:30:00Z,APXMIDP,2022-11-10,14,50.56,674.750
2022-11-10T06:30:00Z,N2EXMIDP,2022-11-10,14,0.00,0.000
2022-11-10T06:00:00Z,APXMIDP,2022-11-10,13,9.01,583.400
2022-11-10T06:00:00Z,N2EXMIDP,2022-11-10,13,0.00,0.000
2022-11-10T05:30:00Z,APXMIDP,2022-11-10,12,-34.61,626.850
2022-11-10T05:30:00Z,N2EXMIDP,2022-11-10,12,0.00,0.000
2022-11-10T05:00:00Z,APXMIDP,2022-11-10,11,-45.82,702.450
2022-11-10T05:00:00Z,N2EXMIDP,2022-11-10,11,0.00,0.000
2022-11-10T04:30:00Z,APXMIDP,2022-11-10,10,-54.24,615.250
2022-11-10T04:30:00Z,N2EXMIDP,2022-11-10,10,0.00,0.000
2022-11-10T04:00:00Z,APXMIDP,2022-11-10,9,-57.65,627.650
2022-11-10T04:00:00Z,N2EXMIDP,2022-11-10,9,0.00,0.000
2022-11-10T03:30:00Z,APXMIDP,2022-11-10,8,-55.06,712.200
2022-11-10T03:30:00Z,N2EXMIDP,2022-11-10,8,0.00,0.000
2022-11-10T03:00:00Z,APXMIDP,2022-11-10,7,-43.48,705.700
2022-11-10T03:00:00Z,N2EXMIDP,2022-11-10,7,0.00,0.000
2022-11-10T02:30:00Z,APXMIDP,2022-11-10,6,-35.69,575.050
2022-11-10T02:30:00Z,N2EXMIDP,2022-11-10,6,0.00,0.000
2022-11-10T02:00:00Z,APXMIDP,2022-11-10,5,-31.57,508.050
2022-11-10T02:00:00Z,N2EXMIDP,2022-11-10,5,0.00,0.000
2022-11-10T01:30:00Z,APXMIDP,2022-11-10,4,-25.62,468.450
2022-11-10T01:30:00Z,N2EXMIDP,2022-11-10,4,0.00,0.000
2022-11-10T01:00:00Z,APXMIDP,2022-11-10,3,-0.18,476.600
2022-11-10T01:00:00Z,N2EXMIDP,2022-11-10,3,0.00,0.000
2022-11-10T00:30:00Z,APXMIDP,2022-11-10,2,-3.33,412.300
2022-11-10T00:30:00Z,N2EXMIDP,2022-11-10,2,0.00,0.000
2022-11-10T00:00:00Z,APXMIDP,2022-11-10,1,1.69,513.250
2022-11-10T00:00:00Z,N2EXMIDP,2022-11-10,1,0.00,0.000
2022-11-09T23:30:00Z,APXMIDP,2022-11-09,48,16.04,590.800
2022-11-09T23:30:00Z,N2EXMIDP,2022-11-09,48,0.00,0.000
2022-11-09T23:00:00Z,APXMIDP,2022-11-09,47,12.50,679.700
2022-11-09T23:00:00Z,N2EXMIDP,2022-11-09,47,0.00,0.000
2022-11-09T22:30:00Z,APXMIDP,2022-11-09,46,77.11,1710.550
2022-11-09T22:30:00Z,N2EXMIDP,2022-11-09,46,0.00,0.000
2022-11-09T22:00:00Z,APXMIDP,2022-11-09,45,84.20,1550.400
2022-11-09T22:00:00Z,N2EXMIDP,2022-11-09,45,0.00,0.000
2022-11-09T21:30:00Z,APXMIDP,2022-11-09,44,89.32,1850.100
2022-11-09T21:30:00Z,N2EXMIDP,2022-11-09,44,0.00,0.000
2022-11-09T21:00:00Z,APXMIDP,2022-11-09,43,90.54,1373.800
2022-11-09T21:00:00Z,N2EXMIDP,2022-11-09,43,0.00,0.000
2022-11-09T20:30:00Z,APXMIDP,2022-11-09,42,99.77,1293.700
2022-11-09T20:30:00Z,N2EXMIDP,2022-11-09,42,0.00,0.000
2022-11-09T20:00:00Z,APXMIDP,2022-11-09,41,113.00,1607.050
2022-11-09T20:00:00Z,N2EXMIDP,2022-11-09,41,0.00,0.000
2022-11-09T19:30:00Z,APXMIDP,2022-11-09,40,108.28,1613.050
2022-11-09T19:30:00Z,N2EXMIDP,2022-11-09,40,0.00,0.000
2022-11-09T19:00:00Z,APXMIDP,2022-11-09,39,117.04,1579.750
2022-11-09T19:00:00Z,N2EXMIDP,2022-11-09,39,0.00,0.000
2022-11-09T18:30:00Z,APXMIDP,2022-11-09,38,134.42,1797.650
2022-11-09T18:30:00Z,N2EXMIDP,2022-11-09,38,0.00,0.000
2022-11-09T18:00:00Z,APXMIDP,2022-11-09,37,143.52,1864.500
2022-11-09T18:00:00Z,N2EXMIDP,2022-11-09,37,0.00,0.000
2022-11-09T17:30:00Z,APXMIDP,2022-11-09,36,171.04,1810.100
2022-11-09T17:30:00Z,N2EXMIDP,2022-11-09,36,0.00,0.000
2022-11-09T17:00:00Z,APXMIDP,2022-11-09,35,185.30,1886.250
2022-11-09T17:00:00Z,N2EXMIDP,2022-11-09,35,0.00,0.000
2022-11-09T16:30:00Z,APXMIDP,2022-11-09,34,170.69,2392.600
2022-11-09T16:30:00Z,N2EXMIDP,2022-11-09,34,0.00,0.000
2022-11-09T16:00:00Z,APXMIDP,2022-11-09,33,152.12,1897.400
2022-11-09T16:00:00Z,N2EXMIDP,2022-11-09,33,0.00,0.000
2022-11-09T15:30:00Z,APXMIDP,2022-11-09,32,126.14,1941.850
2022-11-09T15:30:00Z,N2EXMIDP,2022-11-09,32,0.00,0.000
2022-11-09T15:00:00Z,APXMIDP,2022-11-09,31,93.82,1499.000
2022-11-09T15:00:00Z,N2EXMIDP,2022-11-09,31,0.00,0.000
2022-11-09T14:30:00Z,APXMIDP,2022-11-09,30,96.87,2025.900
2022-11-09T14:30:00Z,N2EXMIDP,2022-11-09,30,0.00,0.000
2022-11-09T14:00:00Z,APXMIDP,2022-11-09,29,99.34,2100.550
2022-11-09T14:00:00Z,N2EXMIDP,2022-11-09,29,0.00,0.000
2022-11-09T13:30:00Z,APXMIDP,2022-11-09,28,77.30,1799.500
2022-11-09T13:30:00Z,N2EXMIDP,2022-11-09,28,0.00,0.000
2022-11-09T13:00:00Z,APXMIDP,2022-11-09,27,76.72,1922.450
2022-11-09T13:00:00Z,N2EXMIDP,2022-11-09,27,0.00,0.000
2022-11-09T12:30:00Z,APXMIDP,2022-11-09,26,76.48,2131.450
2022-11-09T12:30:00Z,N2EXMIDP,2022-11-09,26,0.00,0.000
2022-11-09T12:00:00Z,APXMIDP,2022-11-09,25,66.11,1747.500
2022-11-09T12:00:00Z,N2EXMIDP,2022-11-09,25,0.00,0.000
2022-11-09T11:30:00Z,APXMIDP,2022-11-09,24,62.43,1773.750
2022-11-09T11:30:00Z,N2EXMIDP,2022-11-09,24,0.00,0.000
2022-11-09T11:00:00Z,APXMIDP,2022-11-09,23,65.63,1602.000
2022-11-09T11:00:00Z,N2EXMIDP,2022-11-09,23,0.00,0.000
2022-11-09T10:30:00Z,APXMIDP,2022-11-09,22,70.92,1655.150
2022-11-09T10:30:00Z,N2EXMIDP,2022-11-09,22,0.00,0.000
2022-11-09T10:00:00Z,APXMIDP,2022-11-09,21,73.49,1831.450
2022-11-09T10:00:00Z,N2EXMIDP,2022-11-09,21,0.00,0.000
